Assam,6913347770\n
Bihar,104\n
Chhattisgarh,104\n
Goa,104\n
Gujarat,104\n
Haryana,8558893911\n
Andhra Pradesh,0866-2410978\n
Arunachal Pradesh,9436055743\n
Jharkhand,104\n
Karnataka,104\n
Kerala,0471-2552056\n
Maharashtra,020-26127394\n
Manipur,3852411668\n
Meghalaya,108\n
Mizoram,102\n
Nagaland,7005539653\n
Odisha,9439994859\n
Punjab,104\n
Rajasthan,0141-2225624\n
Sikkim,104\n
Telangana,104\n
Tripura,0381-2315879\n
Uttarakhand,104\n
Tamil Nadu,044-29510500\n
Uttar Pradesh,18001805145\n
West Bengal,1800313444222  03323412600\n
Himachal Pradesh,104\n
Madhya Pradesh,104\n
Delhi,011-22307145\n
Dadra and Nagar Haveli and Daman & Diu,104\n
Lakshadweep,104\n
Puducherry,104\n104
Chandigarh,9779558282\n
Ladakh,1982256462\n
Jammu & Kashmir,01912520982  0194-2440283\n
Andaman and Nicobar Islands,03192-232102\n
